alpha,fp_zero,fp_upper,fp_lower
0.348371,0.000000,NaN,NaN
0.350877,0.000000,NaN,NaN
0.353383,0.000000,NaN,NaN
0.355890,0.000000,NaN,NaN
0.358396,0.000000,NaN,NaN
0.360902,0.000000,NaN,NaN
0.363409,0.000000,NaN,NaN
0.365915,0.000000,NaN,NaN
0.368421,0.000000,NaN,NaN
0.370927,0.000000,NaN,NaN
0.373434,0.000000,NaN,NaN
0.375940,0.000000,NaN,NaN
0.378446,0.000000,NaN,NaN
0.380952,0.000000,NaN,NaN
0.383459,0.000000,NaN,NaN
0.385965,0.000000,NaN,NaN
0.388471,0.000000,NaN,NaN
0.390977,0.000000,NaN,NaN
0.393484,0.000000,NaN,NaN
0.395990,0.000000,NaN,NaN
0.398496,0.000000,NaN,NaN
0.401003,0.000000,NaN,NaN
0.403509,0.000000,NaN,NaN
0.406015,0.000000,NaN,NaN
0.408521,0.000000,NaN,NaN
0.411028,0.000000,NaN,NaN
0.413534,0.000000,NaN,NaN
0.416040,0.000000,NaN,NaN
0.418546,0.000000,NaN,NaN
0.421053,0.000000,NaN,NaN
0.423559,0.000000,NaN,NaN
0.426065,0.000000,NaN,NaN
0.428571,0.000000,NaN,NaN
0.431078,0.000000,NaN,NaN
0.433584,0.000000,NaN,NaN
0.436090,0.000000,NaN,NaN
0.438596,0.000000,NaN,NaN
0.441103,0.000000,NaN,NaN
0.443609,0.000000,NaN,NaN
0.446115,0.000000,NaN,NaN
0.448622,0.000000,NaN,NaN
0.451128,0.000000,NaN,NaN
0.453634,0.000000,NaN,NaN
0.456140,0.000000,NaN,NaN
0.458647,0.000000,NaN,NaN
0.461153,0.000000,NaN,NaN
0.463659,0.000000,NaN,NaN
0.466165,0.000000,NaN,NaN
0.468672,0.000000,NaN,NaN
0.471178,0.000000,NaN,NaN
0.473684,0.000000,NaN,NaN
0.476190,0.000000,NaN,NaN
0.478697,0.000000,NaN,NaN
0.481203,0.000000,NaN,NaN
0.483709,0.000000,NaN,NaN
0.486216,0.000000,NaN,NaN
0.488722,0.000000,NaN,NaN
0.491228,0.000000,NaN,NaN
0.493734,0.000000,NaN,NaN
0.496241,0.000000,NaN,NaN
0.498747,0.000000,NaN,NaN
0.501253,0.000000,0.050063,-0.050063
0.503759,0.000000,0.086711,-0.086711
0.506266,0.000000,0.111943,-0.111943
0.508772,0.000000,0.132453,-0.132453
0.511278,0.000000,0.150188,-0.150188
0.513784,0.000000,0.166039,-0.166039
0.516291,0.000000,0.180503,-0.180503
0.518797,0.000000,0.193892,-0.193892
0.521303,0.000000,0.206413,-0.206413
0.523810,0.000000,0.218218,-0.218218
0.526316,0.000000,0.229416,-0.229416
0.528822,0.000000,0.240092,-0.240092
0.531328,0.000000,0.250313,-0.250313
0.533835,0.000000,0.260133,-0.260133
0.536341,0.000000,0.269595,-0.269595
0.538847,0.000000,0.278737,-0.278737
0.541353,0.000000,0.287588,-0.287588
0.543860,0.000000,0.296174,-0.296174
0.546366,0.000000,0.304519,-0.304519
0.548872,0.000000,0.312641,-0.312641
0.551378,0.000000,0.320557,-0.320557
0.553885,0.000000,0.328283,-0.328283
0.556391,0.000000,0.335830,-0.335830
0.558897,0.000000,0.343212,-0.343212
0.561404,0.000000,0.350438,-0.350438
0.563910,0.000000,0.357519,-0.357519
0.566416,0.000000,0.364461,-0.364461
0.568922,0.000000,0.371274,-0.371274
0.571429,0.000000,0.377964,-0.377964
0.573935,0.000000,0.384538,-0.384538
0.576441,0.000000,0.391002,-0.391002
0.578947,0.000000,0.397360,-0.397360
0.581454,0.000000,0.403618,-0.403618
0.583960,0.000000,0.409780,-0.409780
0.586466,0.000000,0.415851,-0.415851
0.588972,0.000000,0.421835,-0.421835
0.591479,0.000000,0.427735,-0.427735
0.593985,0.000000,0.433555,-0.433555
0.596491,0.000000,0.439298,-0.439298
0.598997,0.000000,0.444966,-0.444966
0.601504,0.000000,0.450564,-0.450564
0.604010,0.000000,0.456092,-0.456092
0.606516,0.000000,0.461555,-0.461555
0.609023,0.000000,0.466953,-0.466953
0.611529,0.000000,0.472290,-0.472290
0.614035,0.000000,0.477567,-0.477567
0.616541,0.000000,0.482786,-0.482786
0.619048,0.000000,0.487950,-0.487950
0.621554,0.000000,0.493060,-0.493060
0.624060,0.000000,0.498117,-0.498117
0.626566,0.000000,0.503123,-0.503123
0.629073,0.000000,0.508080,-0.508080
0.631579,0.000000,0.512989,-0.512989
0.634085,0.000000,0.517852,-0.517852
0.636591,0.000000,0.522669,-0.522669
0.639098,0.000000,0.527442,-0.527442
0.641604,0.000000,0.532173,-0.532173
0.644110,0.000000,0.536862,-0.536862
0.646617,0.000000,0.541510,-0.541510
0.649123,0.000000,0.546119,-0.546119
0.651629,0.000000,0.550689,-0.550689
0.654135,0.000000,0.555221,-0.555221
